"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"1","onealsh01",1999,"Shaquille O'Neal",26,"LAL","C",49,49,1705,510,885,0.576,0,1,0,510,884,0.577,0.576,269,498,0.54,187,338,525,114,36,82,122,155,1289,"MVP-6,NBA2"
"2","iversal01",1999,"Allen Iverson",23,"PHI","SG",48,48,1990,435,1056,0.412,58,199,0.291,377,857,0.44,0.439,356,474,0.751,66,170,236,223,110,7,167,98,1284,"MVP-4,NBA1"
"3","malonka01",1999,"Karl Malone",35,"UTA","PF",49,49,1832,393,797,0.493,0,1,0,393,796,0.494,0.493,378,480,0.788,107,356,463,201,62,28,162,134,1164,"MVP-1,NBA1"
"4","abdursh01",1999,"Shareef Abdur-Rahim",22,"VAN","SF",50,50,2021,386,893,0.432,11,36,0.306,375,857,0.438,0.438,369,439,0.841,114,260,374,172,69,55,186,137,1152,""
"5","duncati01",1999,"Tim Duncan",22,"SAS","PF",50,50,1963,418,845,0.495,1,7,0.143,417,838,0.498,0.495,247,358,0.69,159,412,571,121,45,126,146,147,1084,"MVP-3,DPOY-5,NBA1"
"6","paytoga01",1999,"Gary Payton",30,"SEA","PG",50,50,2008,401,923,0.434,83,281,0.295,318,642,0.495,0.479,199,276,0.721,62,182,244,436,109,12,154,115,1084,"MVP-9,DPOY-3,NBA2"
"7","mcdyean01",1999,"Antonio McDyess",24,"DEN","C",50,50,1937,415,882,0.471,1,9,0.111,414,873,0.474,0.471,230,338,0.68,168,369,537,82,73,115,138,175,1061,"NBA3"
"8","hillgr01",1999,"Grant Hill",26,"DET","SF",50,50,1852,384,802,0.479,0,14,0,384,788,0.487,0.479,285,379,0.752,65,290,355,300,80,27,184,114,1053,"MVP-8,NBA2"
"9","marbust01",1999,"Stephon Marbury",21,"2TM","PG",49,49,1895,378,883,0.428,66,197,0.335,312,686,0.455,0.465,222,278,0.799,37,105,142,437,59,8,164,125,1044,""
"10","finlemi01",1999,"Michael Finley",25,"DAL","SF",50,50,2051,389,876,0.444,45,136,0.331,344,740,0.465,0.47,186,226,0.823,69,194,263,218,66,15,107,96,1009,""
"11","bryanko01",1999,"Kobe Bryant",20,"LAL","SG",50,50,1896,362,779,0.465,27,101,0.267,335,678,0.494,0.482,245,292,0.839,53,211,264,190,72,50,157,153,996,"NBA3"
"12","richmmi01",1999,"Mitch Richmond",33,"WAS","SG",50,50,1912,331,803,0.412,70,221,0.317,261,582,0.448,0.456,251,293,0.857,30,142,172,122,64,10,136,121,983,""
"13","garneke01",1999,"Kevin Garnett",22,"MIN","PF",47,47,1780,414,900,0.46,4,14,0.286,410,886,0.463,0.462,145,206,0.704,166,323,489,202,78,83,135,152,977,"MVP-10,DPOY-7,NBA3"
"14","olajuha01",1999,"Hakeem Olajuwon",36,"HOU","C",50,50,1784,373,725,0.514,4,13,0.308,369,712,0.518,0.517,195,272,0.717,106,372,478,88,82,123,139,160,945,"MVP-13,DPOY-7,NBA3"
