"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","FT","FTA","FT.","TRB","AST","PF","PTS","Trp.Dbl","Awards"
"1","chambwi01",1964,"Wilt Chamberlain",27,"SFW","C",80,3689,1204,2298,0.524,540,1016,0.531,1787,403,182,2948,5,"MVP-2,AS,NBA1"
"2","roberos01",1964,"Oscar Robertson",25,"CIN","PG",79,3559,840,1740,0.483,800,938,0.853,783,868,280,2480,26,"MVP-1,AS,NBA1"
"3","pettibo01",1964,"Bob Pettit",31,"STL","PF",80,3296,791,1708,0.463,608,771,0.789,1224,259,300,2190,0,"MVP-4,AS,NBA1"
"4","bellawa01",1964,"Walt Bellamy",24,"BAL","C",80,3394,811,1582,0.513,537,825,0.651,1361,126,300,2159,0,"AS"
"5","westje01",1964,"Jerry West",25,"LAL","PG",72,2906,740,1529,0.484,584,702,0.832,433,403,200,2064,0,"MVP-5,AS,NBA1"
"6","bayloel01",1964,"Elgin Baylor",29,"LAL","SF",78,3164,756,1778,0.425,471,586,0.804,936,347,235,1983,3,"MVP-6,AS,NBA1"
"7","greerha01",1964,"Hal Greer",27,"PHI","SG",80,3157,715,1611,0.444,435,525,0.829,484,374,291,1865,0,"MVP-6,AS,NBA2"
"8","howelba01",1964,"Bailey Howell",27,"DET","SF",77,2700,598,1267,0.472,470,581,0.809,776,205,290,1666,0,"AS"
"9","dischte01",1964,"Terry Dischinger",23,"BAL","SF",80,2816,604,1217,0.496,454,585,0.776,667,157,321,1662,0,"AS"
"10","havlijo01",1964,"John Havlicek",23,"BOS","SF",80,2587,640,1535,0.417,315,422,0.746,428,238,227,1595,0,"NBA2"
"11","jonessa01",1964,"Sam Jones",30,"BOS","SG",76,2381,612,1359,0.45,249,318,0.783,349,202,192,1473,0,"MVP-9,AS"
"12","barnedi01",1964,"Dick Barnett",27,"LAL","SG",78,2620,541,1197,0.452,351,454,0.773,250,238,233,1433,0,""
"13","hagancl01",1964,"Cliff Hagan",32,"STL","SF",77,2279,572,1280,0.447,269,331,0.813,377,193,273,1413,0,""
"14","scottra01",1964,"Ray Scott",25,"DET","PF",80,2964,539,1307,0.412,328,456,0.719,1078,244,296,1406,1,""
"15","lucasje01",1964,"Jerry Lucas",23,"CIN","PF",79,3273,545,1035,0.527,310,398,0.779,1375,204,300,1400,0,"MVP-9,ROY-1,AS,NBA2"
"16","embrywa01",1964,"Wayne Embry",26,"CIN","C",80,2915,556,1213,0.458,271,417,0.65,925,113,325,1383,0,"MVP-9,AS"
"17","johnsgu01",1964,"Gus Johnson",25,"BAL","PF",78,2847,571,1329,0.43,210,319,0.658,1064,169,321,1352,0,"MVP-6,ROY-2"
"18","chapple01",1964,"Len Chappell",23,"2TM","PF",79,2505,531,1185,0.448,288,403,0.715,771,83,214,1350,0,"AS"
"19","kerrre01",1964,"Red Kerr",31,"PHI","C",80,2938,536,1250,0.429,268,357,0.751,1017,275,187,1340,1,""
"20","walkech01",1964,"Chet Walker",23,"PHI","SF",76,2775,492,1118,0.44,330,464,0.711,784,124,232,1314,0,"AS"
"21","heinsto01",1964,"Tom Heinsohn",29,"BOS","PF",76,2040,487,1223,0.398,283,342,0.827,460,183,268,1257,0,"AS,NBA2"
"22","ohldo01",1964,"Don Ohl",27,"DET","SG",71,2366,500,1224,0.408,225,331,0.68,180,225,219,1225,0,"AS"
"23","boozebo01",1964,"Bob Boozer",26,"2TM","SF",81,2379,468,1096,0.427,272,376,0.723,596,96,231,1208,0,""
"24","russebi01",1964,"Bill Russell",29,"BOS","C",78,3482,466,1077,0.433,236,429,0.55,1930,370,190,1168,2,"MVP-3,AS,NBA2"
"25","greenjo01",1964,"Johnny Green",30,"NYK","PF",80,2134,482,1026,0.47,195,392,0.497,799,157,246,1159,0,""
