"","key","Year","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","arizipa01",1958,"Paul Arizin*","SF","29","PHW","68","","2377","483","1229",".393","","","","483","1229",".393",".393","440","544",".809","","","503","135","","","","235","1406"
"2","athadi01",1958,"Dick Atha","SG","26","DET","18","","160","17","47",".362","","","","17","47",".362",".362","10","12",".833","","","24","19","","","","24","44"
"3","becker01",1958,"Ernie Beck","SG","26","PHW","71","","1974","272","683",".398","","","","272","683",".398",".398","170","203",".837","","","307","190","","","","173","714"
"4","biancal01",1958,"Al Bianchi","SG","25","SYR","69","","1421","215","625",".344","","","","215","625",".344",".344","140","205",".683","","","221","114","","","","188","570"
"5","bolstdo01",1958,"Doug Bolstorff","G","26","DET","3","","21","2","5",".400","","","","2","5",".400",".400","0","0","","","","0","0","","","","1","4"
"6","braunca01",1958,"Carl Braun*","PG","30","NYK","71","","2475","426","1018",".418","","","","426","1018",".418",".418","321","378",".849","","","330","393","","","","183","1173"
"7","brownge01",1958,"George Brown","F","22","MNL","1","","6","0","2",".000","","","","0","2",".000",".000","1","2",".500","","","1","0","","","","1","1"
"8","burrobo01",1958,"Bob Burrow","C","23","MNL","14","","171","22","70",".314","","","","22","70",".314",".314","11","33",".333","","","64","6","","","","15","55"
"9","cliftna01",1958,"Nat Clifton*","PF","35","DET","68","","1435","217","597",".363","","","","217","597",".363",".363","91","146",".623","","","403","76","","","","202","525"
"10","colemja01",1958,"Jack Coleman","PF","33","STL","72","","1506","231","560",".413","","","","231","560",".413",".413","84","131",".641","","","485","117","","","","169","546"
"11","conlied01",1958,"Ed Conlin","SF","24","SYR","60","","1871","343","877",".391","","","","343","877",".391",".391","215","270",".796","","","436","133","","","","168","901"
"12","costela01",1958,"Larry Costello*","PG","26","SYR","72","","2746","378","888",".426","","","","378","888",".426",".426","320","378",".847","","","378","317","","","","246","1076"
"13","cousybo01",1958,"Bob Cousy*","PG","29","BOS","65","","2222","445","1262",".353","","","","445","1262",".353",".353","277","326",".850","","","322","463","","","","136","1167"
"14","daviswa01",1958,"Walt Davis","PF","27","TOT","61","","663","85","244",".348","","","","85","244",".348",".348","61","82",".744","","","174","29","","","","143","231"
"15","dempsge01",1958,"George Dempsey","PG","28","PHW","67","","1048","112","311",".360","","","","112","311",".360",".360","70","105",".667","","","214","128","","","","113","294"
"16","devlico01",1958,"Corky Devlin","SG","26","MNL","70","","1248","170","489",".348","","","","170","489",".348",".348","133","172",".773","","","132","167","","","","104","473"
"17","duckedi01",1958,"Dick Duckett","PG","24","CIN","34","","424","54","158",".342","","","","54","158",".342",".342","24","27",".889","","","56","47","","","","60","132"
"18","dukeswa01",1958,"Walter Dukes","C","27","DET","72","","2184","278","796",".349","","","","278","796",".349",".349","247","366",".675","","","954","52","","","","311","803"
"19","dunnpa01",1958,"Pat Dunn","SG","26","PHW","28","","206","28","90",".311","","","","28","90",".311",".311","14","17",".824","","","31","28","","","","20","70"
"20","ebbenbi01",1958,"Bill Ebben","G","22","DET","8","","50","6","28",".214","","","","6","28",".214",".214","3","4",".750","","","8","4","","","","5","15"
"21","eriasbo01",1958,"Bo Erias","SF","25","MNL","18","","401","59","170",".347","","","","59","170",".347",".347","30","47",".638","","","83","26","","","","52","148"
"22","felixra01",1958,"Ray Felix","C","27","NYK","72","","1709","304","688",".442","","","","304","688",".442",".442","271","389",".697","","","747","52","","","","283","879"
"23","flemied01",1958,"Ed Fleming","SF","24","MNL","72","","1686","226","655",".345","","","","226","655",".345",".345","181","255",".710","","","492","139","","","","222","633"
"24","foustla01",1958,"Larry Foust","C","29","MNL","72","","2200","391","982",".398","","","","391","982",".398",".398","428","566",".756","","","876","108","","","","299","1210"
"25","frienla01",1958,"Larry Friend","SG","22","NYK","44","","569","74","226",".327","","","","74","226",".327",".327","27","41",".659","","","106","47","","","","54","175"
"26","gallaha01",1958,"Harry Gallatin*","PF","30","DET","72","","1990","340","898",".379","","","","340","898",".379",".379","392","498",".787","","","749","86","","","","217","1072"
"27","garmadi01",1958,"Dick Garmaker","SG","25","MNL","68","","2216","390","988",".395","","","","390","988",".395",".395","314","411",".764","","","365","183","","","","190","1094"
"28","georgja01",1958,"Jack George","PG","29","PHW","72","","1910","232","627",".370","","","","232","627",".370",".370","178","242",".736","","","288","234","","","","140","642"
"29","golato01",1958,"Tom Gola*","SG","25","PHW","59","","2126","295","711",".415","","","","295","711",".415",".415","223","299",".746","","","639","327","","","","225","813"
"30","grabojo01",1958,"Joe Graboski","PF","28","PHW","72","","2077","341","1017",".335","","","","341","1017",".335",".335","227","303",".749","","","570","125","","","","249","909"
"31","gueriri01",1958,"Richie Guerin*","SG","25","NYK","63","","2368","344","973",".354","","","","344","973",".354",".354","353","511",".691","","","489","317","","","","202","1041"
"32","hagancl01",1958,"Cliff Hagan*","SF","26","STL","70","","2190","503","1135",".443","","","","503","1135",".443",".443","385","501",".768","","","707","175","","","","267","1391"
"33","harribo02",1958,"Bob Harrison","SG","30","SYR","72","","1799","210","604",".348","","","","210","604",".348",".348","97","122",".795","","","166","169","","","","200","517"
"34","heinsto01",1958,"Tom Heinsohn*","PF","23","BOS","69","","2206","468","1226",".382","","","","468","1226",".382",".382","294","394",".746","","","705","125","","","","274","1230"
"35","holupjo01",1958,"Joe Holup","SF","23","TOT","53","","740","91","278",".327","","","","91","278",".327",".327","71","94",".755","","","221","36","","","","99","253"
"36","hopkibo01",1958,"Bob Hopkins","PF","23","SYR","69","","1224","221","554",".399","","","","221","554",".399",".399","123","161",".764","","","392","45","","","","162","565"
"37","houbrbo01",1958,"Bob Houbregs*","PF","25","DET","17","","302","49","137",".358","","","","49","137",".358",".358","30","43",".698","","","65","19","","","","36","128"
"38","hundlho01",1958,"Hot Rod Hundley","PG","23","MNL","65","","1154","174","548",".318","","","","174","548",".318",".318","104","162",".642","","","186","121","","","","99","452"
"39","hutchme01",1958,"Mel Hutchins","PF","29","NYK","18","","384","51","131",".389","","","","51","131",".389",".389","24","43",".558","","","86","34","","","","31","126"
"40","ingramc01",1958,"McCoy Ingram","PF","26","MNL","24","","267","27","103",".262","","","","27","103",".262",".262","13","28",".464","","","116","20","","","","44","67"
"41","johnsne01",1958,"Neil Johnston*","C","28","PHW","71","","2408","473","1102",".429","","","","473","1102",".429",".429","442","540",".819","","","790","166","","","","233","1388"
